2025-04-13 18:18:13 us=504352 DEPRECATED OPTION: --cipher set to 'AES-256-CBC' but missing in --data-ciphers (AES-256-GCM:AES-128-GCM:CHACHA20-POLY1305). OpenVPN ignores --cipher for cipher negotiations. 
2025-04-13 18:18:13 us=505546 Note: Kernel support for ovpn-dco missing, disabling data channel offload.
2025-04-13 18:18:13 us=505567 WARNING: file '/usr/local/cyberghost/certs/openvpn/client.key' is group or others accessible
2025-04-13 18:18:13 us=505576 Current Parameter Settings:
2025-04-13 18:18:13 us=505579   config = '[UNDEF]'
2025-04-13 18:18:13 us=505583   mode = 0
2025-04-13 18:18:13 us=505586   persist_config = DISABLED
2025-04-13 18:18:13 us=505589   persist_mode = 1
2025-04-13 18:18:13 us=505592   show_ciphers = DISABLED
2025-04-13 18:18:13 us=505595   show_digests = DISABLED
2025-04-13 18:18:13 us=505598   show_engines = DISABLED
2025-04-13 18:18:13 us=505601   genkey = DISABLED
2025-04-13 18:18:13 us=505604   genkey_filename = '[UNDEF]'
2025-04-13 18:18:13 us=505607   key_pass_file = '[UNDEF]'
2025-04-13 18:18:13 us=505610   show_tls_ciphers = DISABLED
2025-04-13 18:18:13 us=505613   connect_retry_max = 0
2025-04-13 18:18:13 us=505616 Connection profiles [0]:
2025-04-13 18:18:13 us=505619   proto = udp
2025-04-13 18:18:13 us=505622   local = '[UNDEF]'
2025-04-13 18:18:13 us=505625   local_port = '[UNDEF]'
2025-04-13 18:18:13 us=505628   remote = 'newyork-s418-i24.cg-dialup.net'
2025-04-13 18:18:13 us=505631   remote_port = '443'
2025-04-13 18:18:13 us=505634   remote_float = DISABLED
2025-04-13 18:18:13 us=505637   bind_defined = DISABLED
2025-04-13 18:18:13 us=505640   bind_local = DISABLED
2025-04-13 18:18:13 us=505643   bind_ipv6_only = DISABLED
2025-04-13 18:18:13 us=505646   connect_retry_seconds = 1
2025-04-13 18:18:13 us=505649   connect_timeout = 120
2025-04-13 18:18:13 us=505652   socks_proxy_server = '[UNDEF]'
2025-04-13 18:18:13 us=505655   socks_proxy_port = '[UNDEF]'
2025-04-13 18:18:13 us=505658   tun_mtu = 1500
2025-04-13 18:18:13 us=505661   tun_mtu_defined = ENABLED
2025-04-13 18:18:13 us=505664   link_mtu = 1500
2025-04-13 18:18:13 us=505667   link_mtu_defined = DISABLED
2025-04-13 18:18:13 us=505670   tun_mtu_extra = 0
2025-04-13 18:18:13 us=505673   tun_mtu_extra_defined = DISABLED
2025-04-13 18:18:13 us=505676   tls_mtu = 1250
2025-04-13 18:18:13 us=505679   mtu_discover_type = -1
2025-04-13 18:18:13 us=505682   fragment = 0
2025-04-13 18:18:13 us=505685   mssfix = 1492
2025-04-13 18:18:13 us=505688   mssfix_encap = ENABLED
2025-04-13 18:18:13 us=505691   mssfix_fixed = DISABLED
2025-04-13 18:18:13 us=505694   explicit_exit_notification = 2
2025-04-13 18:18:13 us=505697   tls_auth_file = '[UNDEF]'
2025-04-13 18:18:13 us=505700   key_direction = not set
2025-04-13 18:18:13 us=505703   tls_crypt_file = '[UNDEF]'
2025-04-13 18:18:13 us=505706   tls_crypt_v2_file = '[UNDEF]'
2025-04-13 18:18:13 us=505709 Connection profiles END
2025-04-13 18:18:13 us=505712   remote_random = DISABLED
2025-04-13 18:18:13 us=505715   ipchange = '[UNDEF]'
2025-04-13 18:18:13 us=505718   dev = 'tun'
2025-04-13 18:18:13 us=505721   dev_type = '[UNDEF]'
2025-04-13 18:18:13 us=505724   dev_node = '[UNDEF]'
2025-04-13 18:18:13 us=505727   tuntap_options.disable_dco = ENABLED
2025-04-13 18:18:13 us=505730   lladdr = '[UNDEF]'
2025-04-13 18:18:13 us=505733   topology = 1
2025-04-13 18:18:13 us=505736   ifconfig_local = '[UNDEF]'
2025-04-13 18:18:13 us=505739   ifconfig_remote_netmask = '[UNDEF]'
2025-04-13 18:18:13 us=505742   ifconfig_noexec = DISABLED
2025-04-13 18:18:13 us=505745   ifconfig_nowarn = DISABLED
2025-04-13 18:18:13 us=505748   ifconfig_ipv6_local = '[UNDEF]'
2025-04-13 18:18:13 us=505751   ifconfig_ipv6_netbits = 0
2025-04-13 18:18:13 us=505754   ifconfig_ipv6_remote = '[UNDEF]'
2025-04-13 18:18:13 us=505757   shaper = 0
2025-04-13 18:18:13 us=505760   mtu_test = 0
2025-04-13 18:18:13 us=505763   mlock = DISABLED
2025-04-13 18:18:13 us=505766   keepalive_ping = 0
2025-04-13 18:18:13 us=505769   keepalive_timeout = 0
2025-04-13 18:18:13 us=505772   inactivity_timeout = 0
2025-04-13 18:18:13 us=505775   session_timeout = 0
2025-04-13 18:18:13 us=505782   inactivity_minimum_bytes = 0
2025-04-13 18:18:13 us=505788   ping_send_timeout = 15
2025-04-13 18:18:13 us=505791   ping_rec_timeout = 60
2025-04-13 18:18:13 us=505795   ping_rec_timeout_action = 2
2025-04-13 18:18:13 us=505798   ping_timer_remote = DISABLED
2025-04-13 18:18:13 us=505801   remap_sigusr1 = 0
2025-04-13 18:18:13 us=505804   persist_tun = ENABLED
2025-04-13 18:18:13 us=505807   persist_local_ip = DISABLED
2025-04-13 18:18:13 us=505810   persist_remote_ip = DISABLED
2025-04-13 18:18:13 us=505813   persist_key = ENABLED
2025-04-13 18:18:13 us=505816   passtos = DISABLED
2025-04-13 18:18:13 us=505819   resolve_retry_seconds = 1000000000
2025-04-13 18:18:13 us=505822   resolve_in_advance = DISABLED
2025-04-13 18:18:13 us=505825   username = '[UNDEF]'
2025-04-13 18:18:13 us=505828   groupname = '[UNDEF]'
2025-04-13 18:18:13 us=505831   chroot_dir = '[UNDEF]'
2025-04-13 18:18:13 us=505834   cd_dir = '[UNDEF]'
2025-04-13 18:18:13 us=505837   writepid = '[UNDEF]'
2025-04-13 18:18:13 us=505841   up_script = '/usr/local/cyberghost/update-systemd-resolved'
2025-04-13 18:18:13 us=505844   down_script = '/usr/local/cyberghost/update-systemd-resolved'
2025-04-13 18:18:13 us=505847   down_pre = ENABLED
2025-04-13 18:18:13 us=505850   up_restart = ENABLED
2025-04-13 18:18:13 us=505853   up_delay = DISABLED
2025-04-13 18:18:13 us=505856   daemon = ENABLED
2025-04-13 18:18:13 us=505859   log = ENABLED
2025-04-13 18:18:13 us=505862   suppress_timestamps = DISABLED
2025-04-13 18:18:13 us=505865   machine_readable_output = DISABLED
2025-04-13 18:18:13 us=505868   nice = 0
2025-04-13 18:18:13 us=505871   verbosity = 4
2025-04-13 18:18:13 us=505874   mute = 0
2025-04-13 18:18:13 us=505877   gremlin = 0
2025-04-13 18:18:13 us=505880   status_file = '[UNDEF]'
2025-04-13 18:18:13 us=505883   status_file_version = 1
2025-04-13 18:18:13 us=505886   status_file_update_freq = 60
2025-04-13 18:18:13 us=505889   occ = ENABLED
2025-04-13 18:18:13 us=505892   rcvbuf = 0
2025-04-13 18:18:13 us=505895   sndbuf = 0
2025-04-13 18:18:13 us=505899   mark = 0
2025-04-13 18:18:13 us=505902   sockflags = 0
2025-04-13 18:18:13 us=505905   fast_io = DISABLED
2025-04-13 18:18:13 us=505908   comp.alg = 0
2025-04-13 18:18:13 us=505911   comp.flags = 24
2025-04-13 18:18:13 us=505914   route_script = '[UNDEF]'
2025-04-13 18:18:13 us=505917   route_default_gateway = '[UNDEF]'
2025-04-13 18:18:13 us=505920   route_default_metric = 0
2025-04-13 18:18:13 us=505923   route_noexec = DISABLED
2025-04-13 18:18:13 us=505926   route_delay = 5
2025-04-13 18:18:13 us=505929   route_delay_window = 20
2025-04-13 18:18:13 us=505932   route_delay_defined = ENABLED
2025-04-13 18:18:13 us=505935   route_nopull = DISABLED
2025-04-13 18:18:13 us=505938   route_gateway_via_dhcp = DISABLED
2025-04-13 18:18:13 us=505941   allow_pull_fqdn = DISABLED
2025-04-13 18:18:13 us=505944   management_addr = '[UNDEF]'
2025-04-13 18:18:13 us=505947   management_port = '[UNDEF]'
2025-04-13 18:18:13 us=505951   management_user_pass = '[UNDEF]'
2025-04-13 18:18:13 us=505954   management_log_history_cache = 250
2025-04-13 18:18:13 us=505957   management_echo_buffer_size = 100
2025-04-13 18:18:13 us=505960   management_client_user = '[UNDEF]'
2025-04-13 18:18:13 us=505963   management_client_group = '[UNDEF]'
2025-04-13 18:18:13 us=505966   management_flags = 0
2025-04-13 18:18:13 us=505969   shared_secret_file = '[UNDEF]'
2025-04-13 18:18:13 us=505972   key_direction = not set
2025-04-13 18:18:13 us=505975   ciphername = 'AES-256-CBC'
2025-04-13 18:18:13 us=505978   ncp_ciphers = 'AES-256-GCM:AES-128-GCM:CHACHA20-POLY1305'
2025-04-13 18:18:13 us=505981   authname = 'SHA256'
2025-04-13 18:18:13 us=505984   engine = DISABLED
2025-04-13 18:18:13 us=505987   replay = ENABLED
2025-04-13 18:18:13 us=505990   mute_replay_warnings = ENABLED
2025-04-13 18:18:13 us=505993   replay_window = 64
2025-04-13 18:18:13 us=505996   replay_time = 15
2025-04-13 18:18:13 us=505999   packet_id_file = '[UNDEF]'
2025-04-13 18:18:13 us=506002   test_crypto = DISABLED
2025-04-13 18:18:13 us=506007   tls_server = DISABLED
2025-04-13 18:18:13 us=506011   tls_client = ENABLED
2025-04-13 18:18:13 us=506015   ca_file = '/usr/local/cyberghost/certs/openvpn/ca.crt'
2025-04-13 18:18:13 us=506018   ca_path = '[UNDEF]'
2025-04-13 18:18:13 us=506021   dh_file = '[UNDEF]'
2025-04-13 18:18:13 us=506024   cert_file = '/usr/local/cyberghost/certs/openvpn/client.crt'
2025-04-13 18:18:13 us=506027   extra_certs_file = '[UNDEF]'
2025-04-13 18:18:13 us=506030   priv_key_file = '/usr/local/cyberghost/certs/openvpn/client.key'
2025-04-13 18:18:13 us=506033   pkcs12_file = '[UNDEF]'
2025-04-13 18:18:13 us=506036   cipher_list = '[UNDEF]'
2025-04-13 18:18:13 us=506039   cipher_list_tls13 = '[UNDEF]'
2025-04-13 18:18:13 us=506042   tls_cert_profile = '[UNDEF]'
2025-04-13 18:18:13 us=506045   tls_verify = '[UNDEF]'
2025-04-13 18:18:13 us=506048   tls_export_peer_cert_dir = '[UNDEF]'
