2025-04-13 18:15:37 us=866197 DEPRECATED OPTION: --cipher set to 'AES-256-CBC' but missing in --data-ciphers (AES-256-GCM:AES-128-GCM:CHACHA20-POLY1305). OpenVPN ignores --cipher for cipher negotiations. 
2025-04-13 18:15:37 us=867174 Note: Kernel support for ovpn-dco missing, disabling data channel offload.
2025-04-13 18:15:37 us=867184 WARNING: file '/usr/local/cyberghost/certs/openvpn/client.key' is group or others accessible
2025-04-13 18:15:37 us=867193 Current Parameter Settings:
2025-04-13 18:15:37 us=867195   config = '[UNDEF]'
2025-04-13 18:15:37 us=867197   mode = 0
2025-04-13 18:15:37 us=867198   persist_config = DISABLED
2025-04-13 18:15:37 us=867200   persist_mode = 1
2025-04-13 18:15:37 us=867201   show_ciphers = DISABLED
2025-04-13 18:15:37 us=867203   show_digests = DISABLED
2025-04-13 18:15:37 us=867204   show_engines = DISABLED
2025-04-13 18:15:37 us=867206   genkey = DISABLED
2025-04-13 18:15:37 us=867207   genkey_filename = '[UNDEF]'
2025-04-13 18:15:37 us=867209   key_pass_file = '[UNDEF]'
2025-04-13 18:15:37 us=867210   show_tls_ciphers = DISABLED
2025-04-13 18:15:37 us=867212   connect_retry_max = 0
2025-04-13 18:15:37 us=867213 Connection profiles [0]:
2025-04-13 18:15:37 us=867215   proto = udp
2025-04-13 18:15:37 us=867216   local = '[UNDEF]'
2025-04-13 18:15:37 us=867218   local_port = '[UNDEF]'
2025-04-13 18:15:37 us=867219   remote = 'newyork-s417-i01.cg-dialup.net'
2025-04-13 18:15:37 us=867221   remote_port = '443'
2025-04-13 18:15:37 us=867222   remote_float = DISABLED
2025-04-13 18:15:37 us=867224   bind_defined = DISABLED
2025-04-13 18:15:37 us=867225   bind_local = DISABLED
2025-04-13 18:15:37 us=867226   bind_ipv6_only = DISABLED
2025-04-13 18:15:37 us=867228   connect_retry_seconds = 1
2025-04-13 18:15:37 us=867229   connect_timeout = 120
2025-04-13 18:15:37 us=867231   socks_proxy_server = '[UNDEF]'
2025-04-13 18:15:37 us=867232   socks_proxy_port = '[UNDEF]'
2025-04-13 18:15:37 us=867234   tun_mtu = 1500
2025-04-13 18:15:37 us=867235   tun_mtu_defined = ENABLED
2025-04-13 18:15:37 us=867237   link_mtu = 1500
2025-04-13 18:15:37 us=867238   link_mtu_defined = DISABLED
